Species,Units,Date,Year,Month,Day,Time,Value
NO,ug m-3,14/01/2017,2017,01,14,17,26.3
NO,ug m-3,14/01/2017,2017,01,14,18,28.7
NO,ug m-3,14/01/2017,2017,01,14,19,22.5
NO,ug m-3,14/01/2017,2017,01,14,20,40.0
NO,ug m-3,14/01/2017,2017,01,14,21,34.8
NO,ug m-3,14/01/2017,2017,01,14,22,31.6
NO,ug m-3,14/01/2017,2017,01,14,23,37.0
NO,ug m-3,15/01/2017,2017,01,15,0,26.0
NO,ug m-3,15/01/2017,2017,01,15,1,21.0
NO,ug m-3,15/01/2017,2017,01,15,2,14.9
NO,ug m-3,15/01/2017,2017,01,15,3,9.8
NO,ug m-3,15/01/2017,2017,01,15,4,6.2
NO,ug m-3,15/01/2017,2017,01,15,5,4.9
NO,ug m-3,15/01/2017,2017,01,15,6,5.9
NO,ug m-3,15/01/2017,2017,01,15,7,11.0
NO,ug m-3,15/01/2017,2017,01,15,8,9.5
NO,ug m-3,15/01/2017,2017,01,15,9,15.1
NO,ug m-3,15/01/2017,2017,01,15,10,12.0
NO,ug m-3,15/01/2017,2017,01,15,11,15.1
NO,ug m-3,15/01/2017,2017,01,15,12,25.3
NO,ug m-3,15/01/2017,2017,01,15,13,15.9
NO,ug m-3,15/01/2017,2017,01,15,14,12.6
NO,ug m-3,15/01/2017,2017,01,15,15,17.1
NO,ug m-3,15/01/2017,2017,01,15,16,18.0
NO,ug m-3,15/01/2017,2017,01,15,17,15.6
NO,ug m-3,15/01/2017,2017,01,15,18,8.3
NO,ug m-3,15/01/2017,2017,01,15,19,5.3
NO,ug m-3,15/01/2017,2017,01,15,20,7.2
NO,ug m-3,15/01/2017,2017,01,15,21,6.4
NO,ug m-3,15/01/2017,2017,01,15,22,5.1
NO,ug m-3,15/01/2017,2017,01,15,23,5.1
NO,ug m-3,16/01/2017,2017,01,16,0,10.5
NO,ug m-3,16/01/2017,2017,01,16,1,5.7
NO,ug m-3,16/01/2017,2017,01,16,2,4.1
NO,ug m-3,16/01/2017,2017,01,16,3,3.2
NO,ug m-3,16/01/2017,2017,01,16,4,4.4
NO,ug m-3,16/01/2017,2017,01,16,5,6.6
NO,ug m-3,16/01/2017,2017,01,16,6,9.5
NO,ug m-3,16/01/2017,2017,01,16,7,24.4
NO,ug m-3,16/01/2017,2017,01,16,8,58.8
NO,ug m-3,16/01/2017,2017,01,16,9,42.2
NO,ug m-3,16/01/2017,2017,01,16,10,28.1
NO,ug m-3,16/01/2017,2017,01,16,11,35.2
NO,ug m-3,16/01/2017,2017,01,16,12,19.0
NO,ug m-3,16/01/2017,2017,01,16,13,25.2
NO,ug m-3,16/01/2017,2017,01,16,14,31.9
NO,ug m-3,16/01/2017,2017,01,16,15,15.5
NO,ug m-3,16/01/2017,2017,01,16,16,25.6
NO,ug m-3,16/01/2017,2017,01,16,17,52.7
NO,ug m-3,16/01/2017,2017,01,16,18,78.9
NO,ug m-3,16/01/2017,2017,01,16,19,115.8
NO,ug m-3,16/01/2017,2017,01,16,20,55.4
NO,ug m-3,16/01/2017,2017,01,16,21,47.3
NO,ug m-3,16/01/2017,2017,01,16,22,41.6
NO,ug m-3,16/01/2017,2017,01,16,23,70.9
NO,ug m-3,17/01/2017,2017,01,17,0,45.0
NO,ug m-3,17/01/2017,2017,01,17,1,6.6
NO,ug m-3,17/01/2017,2017,01,17,2,5.7
NO,ug m-3,17/01/2017,2017,01,17,3,4.3
NO,ug m-3,17/01/2017,2017,01,17,4,5.5
NO,ug m-3,17/01/2017,2017,01,17,5,34.0
NO,ug m-3,17/01/2017,2017,01,17,6,63.8
NO,ug m-3,17/01/2017,2017,01,17,7,52.9
NO,ug m-3,17/01/2017,2017,01,17,8,98.7
NO,ug m-3,17/01/2017,2017,01,17,9,101.8
NO,ug m-3,17/01/2017,2017,01,17,10,100.4
NO,ug m-3,17/01/2017,2017,01,17,11,56.3
NO,ug m-3,17/01/2017,2017,01,17,12,35.6
NO,ug m-3,17/01/2017,2017,01,17,13,18.9
NO,ug m-3,17/01/2017,2017,01,17,14,27.6
NO,ug m-3,17/01/2017,2017,01,17,15,14.5
NO,ug m-3,17/01/2017,2017,01,17,16,52.5
NO,ug m-3,17/01/2017,2017,01,17,17,48.8
NO,ug m-3,17/01/2017,2017,01,17,18,75.1
NO,ug m-3,17/01/2017,2017,01,17,19,68.1
NO,ug m-3,17/01/2017,2017,01,17,20,55.0
NO,ug m-3,17/01/2017,2017,01,17,21,36.0
NO,ug m-3,17/01/2017,2017,01,17,22,35.5
NO,ug m-3,17/01/2017,2017,01,17,23,27.0
NO,ug m-3,18/01/2017,2017,01,18,0,13.4
NO,ug m-3,18/01/2017,2017,01,18,1,16.7
NO,ug m-3,18/01/2017,2017,01,18,2,13.8
NO,ug m-3,18/01/2017,2017,01,18,3,12.1
NO,ug m-3,18/01/2017,2017,01,18,4,30.6
NO,ug m-3,18/01/2017,2017,01,18,5,149.60001
NO,ug m-3,18/01/2017,2017,01,18,6,232.89999
NO,ug m-3,18/01/2017,2017,01,18,7,240.39999
NO,ug m-3,18/01/2017,2017,01,18,8,344.29999
NO,ug m-3,18/01/2017,2017,01,18,9,326.29999
NO,ug m-3,18/01/2017,2017,01,18,10,216.7
NO,ug m-3,18/01/2017,2017,01,18,11,78.8
NO,ug m-3,18/01/2017,2017,01,18,12,79.8
NO,ug m-3,18/01/2017,2017,01,18,13,118.9
NO,ug m-3,18/01/2017,2017,01,18,14,81.5
NO,ug m-3,18/01/2017,2017,01,18,15,84.3
NO,ug m-3,18/01/2017,2017,01,18,16,74.3
NO,ug m-3,18/01/2017,2017,01,18,17,97.4
NO,ug m-3,18/01/2017,2017,01,18,18,105.3
NO,ug m-3,18/01/2017,2017,01,18,19,89.0
NO,ug m-3,18/01/2017,2017,01,18,20,87.4
NO,ug m-3,18/01/2017,2017,01,18,21,84.0
NO,ug m-3,18/01/2017,2017,01,18,22,80.4
NO,ug m-3,18/01/2017,2017,01,18,23,107.5
NO,ug m-3,19/01/2017,2017,01,19,0,97.2
NO,ug m-3,19/01/2017,2017,01,19,1,49.9
NO,ug m-3,19/01/2017,2017,01,19,2,60.5
NO,ug m-3,19/01/2017,2017,01,19,3,58.3
NO,ug m-3,19/01/2017,2017,01,19,4,63.0
NO,ug m-3,19/01/2017,2017,01,19,5,39.3
NO,ug m-3,19/01/2017,2017,01,19,6,68.2
NO,ug m-3,19/01/2017,2017,01,19,7,96.3
NO,ug m-3,19/01/2017,2017,01,19,8,109.4
NO,ug m-3,19/01/2017,2017,01,19,9,137.39999
NO,ug m-3,19/01/2017,2017,01,19,10,135.39999
NO,ug m-3,19/01/2017,2017,01,19,11,107.5
NO,ug m-3,19/01/2017,2017,01,19,12,83.0
NO,ug m-3,19/01/2017,2017,01,19,13,76.0
NO,ug m-3,19/01/2017,2017,01,19,14,68.1
NO,ug m-3,19/01/2017,2017,01,19,15,71.6
NO,ug m-3,19/01/2017,2017,01,19,16,68.8
NO,ug m-3,19/01/2017,2017,01,19,17,56.2
NO,ug m-3,19/01/2017,2017,01,19,18,71.6
NO,ug m-3,19/01/2017,2017,01,19,19,87.1
NO,ug m-3,19/01/2017,2017,01,19,20,78.3
NO,ug m-3,19/01/2017,2017,01,19,21,76.1
NO,ug m-3,19/01/2017,2017,01,19,22,59.8
NO,ug m-3,19/01/2017,2017,01,19,23,50.0
NO,ug m-3,20/01/2017,2017,01,20,0,41.6
NO,ug m-3,20/01/2017,2017,01,20,1,38.2
NO,ug m-3,20/01/2017,2017,01,20,2,41.3
NO,ug m-3,20/01/2017,2017,01,20,3,36.8
NO,ug m-3,20/01/2017,2017,01,20,4,31.6
NO,ug m-3,20/01/2017,2017,01,20,5,30.6
NO,ug m-3,20/01/2017,2017,01,20,6,39.8
NO,ug m-3,20/01/2017,2017,01,20,7,75.0
NO,ug m-3,20/01/2017,2017,01,20,8,127.9
NO,ug m-3,20/01/2017,2017,01,20,9,130.3
NO,ug m-3,20/01/2017,2017,01,20,10,107.2
NO,ug m-3,20/01/2017,2017,01,20,11,84.3
NO,ug m-3,20/01/2017,2017,01,20,12,67.3
NO,ug m-3,20/01/2017,2017,01,20,13,50.3
NO,ug m-3,20/01/2017,2017,01,20,14,48.1
