Species,Units,Date,Year,Month,Day,Time,Value,Weekday
NO,ug m-3,13/01/2017,2017,1,13,21,38.400000000000006,FRI
NO,ug m-3,13/01/2017,2017,1,13,22,30.900000000000002,FRI
NO,ug m-3,13/01/2017,2017,1,13,23,28.799999999999997,FRI
NO,ug m-3,14/01/2017,2017,1,14,0,5.0,SAT
NO,ug m-3,14/01/2017,2017,1,14,1,3.3,SAT
NO,ug m-3,14/01/2017,2017,1,14,2,2.05,SAT
NO,ug m-3,14/01/2017,2017,1,14,3,1.9,SAT
NO,ug m-3,14/01/2017,2017,1,14,4,1.55,SAT
NO,ug m-3,14/01/2017,2017,1,14,5,1.5,SAT
NO,ug m-3,14/01/2017,2017,1,14,6,3.25,SAT
NO,ug m-3,14/01/2017,2017,1,14,7,6.3,SAT
NO,ug m-3,14/01/2017,2017,1,14,8,10.55,SAT
NO,ug m-3,14/01/2017,2017,1,14,9,19.2,SAT
NO,ug m-3,14/01/2017,2017,1,14,10,17.65,SAT
NO,ug m-3,14/01/2017,2017,1,14,11,15.05,SAT
NO,ug m-3,14/01/2017,2017,1,14,12,11.95,SAT
NO,ug m-3,14/01/2017,2017,1,14,13,8.6,SAT
NO,ug m-3,14/01/2017,2017,1,14,14,10.7,SAT
NO,ug m-3,14/01/2017,2017,1,14,15,22.25,SAT
NO,ug m-3,14/01/2017,2017,1,14,16,11.45,SAT
NO,ug m-3,14/01/2017,2017,1,14,17,13.15,SAT
NO,ug m-3,14/01/2017,2017,1,14,18,14.35,SAT
NO,ug m-3,14/01/2017,2017,1,14,19,11.25,SAT
NO,ug m-3,14/01/2017,2017,1,14,20,120.0,SAT
NO,ug m-3,14/01/2017,2017,1,14,21,104.39999999999999,SAT
NO,ug m-3,14/01/2017,2017,1,14,22,94.80000000000001,SAT
NO,ug m-3,14/01/2017,2017,1,14,23,111.0,SAT
NO,ug m-3,15/01/2017,2017,1,15,0,13.0,SUN
NO,ug m-3,15/01/2017,2017,1,15,1,10.5,SUN
NO,ug m-3,15/01/2017,2017,1,15,2,7.45,SUN
NO,ug m-3,15/01/2017,2017,1,15,3,4.9,SUN
NO,ug m-3,15/01/2017,2017,1,15,4,3.1,SUN
NO,ug m-3,15/01/2017,2017,1,15,5,2.45,SUN
NO,ug m-3,15/01/2017,2017,1,15,6,2.95,SUN
NO,ug m-3,15/01/2017,2017,1,15,7,5.5,SUN
NO,ug m-3,15/01/2017,2017,1,15,8,4.75,SUN
NO,ug m-3,15/01/2017,2017,1,15,9,7.55,SUN
NO,ug m-3,15/01/2017,2017,1,15,10,6.0,SUN
NO,ug m-3,15/01/2017,2017,1,15,11,7.55,SUN
NO,ug m-3,15/01/2017,2017,1,15,12,12.65,SUN
NO,ug m-3,15/01/2017,2017,1,15,13,7.95,SUN
NO,ug m-3,15/01/2017,2017,1,15,14,6.3,SUN
NO,ug m-3,15/01/2017,2017,1,15,15,8.55,SUN
NO,ug m-3,15/01/2017,2017,1,15,16,9.0,SUN
NO,ug m-3,15/01/2017,2017,1,15,17,7.8,SUN
NO,ug m-3,15/01/2017,2017,1,15,18,4.15,SUN
NO,ug m-3,15/01/2017,2017,1,15,19,2.65,SUN
NO,ug m-3,15/01/2017,2017,1,15,20,21.6,SUN
NO,ug m-3,15/01/2017,2017,1,15,21,19.200000000000003,SUN
NO,ug m-3,15/01/2017,2017,1,15,22,15.299999999999999,SUN
NO,ug m-3,15/01/2017,2017,1,15,23,15.299999999999999,SUN
NO,ug m-3,16/01/2017,2017,1,16,0,5.25,MON
NO,ug m-3,16/01/2017,2017,1,16,1,2.85,MON
NO,ug m-3,16/01/2017,2017,1,16,2,2.05,MON
NO,ug m-3,16/01/2017,2017,1,16,3,1.6,MON
NO,ug m-3,16/01/2017,2017,1,16,4,2.2,MON
NO,ug m-3,16/01/2017,2017,1,16,5,3.3,MON
NO,ug m-3,16/01/2017,2017,1,16,6,4.75,MON
NO,ug m-3,16/01/2017,2017,1,16,7,12.2,MON
NO,ug m-3,16/01/2017,2017,1,16,8,29.4,MON
NO,ug m-3,16/01/2017,2017,1,16,9,21.1,MON
NO,ug m-3,16/01/2017,2017,1,16,10,14.05,MON
NO,ug m-3,16/01/2017,2017,1,16,11,17.6,MON
NO,ug m-3,16/01/2017,2017,1,16,12,9.5,MON
NO,ug m-3,16/01/2017,2017,1,16,13,12.6,MON
NO,ug m-3,16/01/2017,2017,1,16,14,15.95,MON
NO,ug m-3,16/01/2017,2017,1,16,15,7.75,MON
NO,ug m-3,16/01/2017,2017,1,16,16,12.8,MON
NO,ug m-3,16/01/2017,2017,1,16,17,26.35,MON
NO,ug m-3,16/01/2017,2017,1,16,18,39.45,MON
NO,ug m-3,16/01/2017,2017,1,16,19,57.9,MON
NO,ug m-3,16/01/2017,2017,1,16,20,166.2,MON
NO,ug m-3,16/01/2017,2017,1,16,21,141.89999999999998,MON
NO,ug m-3,16/01/2017,2017,1,16,22,124.80000000000001,MON
NO,ug m-3,16/01/2017,2017,1,16,23,212.70000000000002,MON
NO,ug m-3,17/01/2017,2017,1,17,0,22.5,TUE
NO,ug m-3,17/01/2017,2017,1,17,1,3.3,TUE
NO,ug m-3,17/01/2017,2017,1,17,2,2.85,TUE
NO,ug m-3,17/01/2017,2017,1,17,3,2.15,TUE
NO,ug m-3,17/01/2017,2017,1,17,4,2.75,TUE
NO,ug m-3,17/01/2017,2017,1,17,5,17.0,TUE
NO,ug m-3,17/01/2017,2017,1,17,6,31.9,TUE
NO,ug m-3,17/01/2017,2017,1,17,7,26.45,TUE
NO,ug m-3,17/01/2017,2017,1,17,8,49.35,TUE
NO,ug m-3,17/01/2017,2017,1,17,9,50.9,TUE
NO,ug m-3,17/01/2017,2017,1,17,10,50.2,TUE
NO,ug m-3,17/01/2017,2017,1,17,11,28.15,TUE
NO,ug m-3,17/01/2017,2017,1,17,12,17.8,TUE
NO,ug m-3,17/01/2017,2017,1,17,13,9.45,TUE
NO,ug m-3,17/01/2017,2017,1,17,14,13.8,TUE
NO,ug m-3,17/01/2017,2017,1,17,15,7.25,TUE
NO,ug m-3,17/01/2017,2017,1,17,16,26.25,TUE
NO,ug m-3,17/01/2017,2017,1,17,17,24.4,TUE
NO,ug m-3,17/01/2017,2017,1,17,18,37.55,TUE
NO,ug m-3,17/01/2017,2017,1,17,19,34.05,TUE
NO,ug m-3,17/01/2017,2017,1,17,20,165.0,TUE
NO,ug m-3,17/01/2017,2017,1,17,21,108.0,TUE
NO,ug m-3,17/01/2017,2017,1,17,22,106.5,TUE
NO,ug m-3,17/01/2017,2017,1,17,23,81.0,TUE
NO,ug m-3,18/01/2017,2017,1,18,0,6.7,WED
NO,ug m-3,18/01/2017,2017,1,18,1,8.35,WED
NO,ug m-3,18/01/2017,2017,1,18,2,6.9,WED
NO,ug m-3,18/01/2017,2017,1,18,3,6.05,WED
NO,ug m-3,18/01/2017,2017,1,18,4,15.3,WED
NO,ug m-3,18/01/2017,2017,1,18,5,74.800005,WED
NO,ug m-3,18/01/2017,2017,1,18,6,116.449995,WED
NO,ug m-3,18/01/2017,2017,1,18,7,120.199995,WED
NO,ug m-3,18/01/2017,2017,1,18,8,172.149995,WED
NO,ug m-3,18/01/2017,2017,1,18,9,163.149995,WED
NO,ug m-3,18/01/2017,2017,1,18,10,108.35,WED
